# MODIS Terra GEOGRAPHIC METADATA TEXT FILE day 2017-04-02\n# NFiles = 288, max geo IngestTime = 2017-04-03 07:50:45.120804\n# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MOD03.A2017092.0000.006.2017093001156.hdf,2017-04-02 00:00,6,91957,D,-131.282893084302,83.7081737675875,59.2145468577672,135.664470135863,133.173254675206,-131.28086042642,-166.083827305608,148.816552627907,83.17239546699,70.2487033287984,58.9689876365232,65.2549030494697
MOD03.A2017092.0005.006.2017093001140.hdf,2017-04-02 00:05,6,91957,D,-166.667576096282,65.7865598516585,43.5267073486858,148.393113994735,148.026188186016,-166.666090655299,178.501934402021,148.396764878915,65.7420753098154,59.2752956871973,43.377580378129,47.4561029325089
MOD03.A2017092.0010.006.2017093001216.hdf,2017-04-02 00:10,6,91957,D,178.012889119846,47.884897336612,26.4756427816992,146.40261391293,148.084837026284,178.015986372634,170.175553777497,146.38097371707,47.90441767149,43.5946463613884,26.393961044768,29.624960930066
MOD03.A2017092.0015.006.2017093001236.hdf,2017-04-02 00:15,6,91957,D,169.831557782438,29.9544145361961,8.88457664098688,143.548678412009,146.226693326808,169.83656916477,164.723867746718,143.526023609672,29.9836302987576,26.5463191165968,8.85088338414451,11.8164612491611
MOD03.A2017092.0020.006.2017093001220.hdf,2017-04-02 00:20,6,91957,D,164.539923435396,12.0204137523922,-8.94627897813244,139.813285363591,143.452150837187,164.546199069001,160.723992095065,139.806308759952,12.0517660853124,8.95614868082465,-8.95425418087953,-5.8932892931084
MOD03.A2017092.0025.006.2017093001231.hdf,2017-04-02 00:25,6,91957,D,160.709598801805,-5.81964022090898,-26.8551404968928,134.753644495655,139.791784194428,160.878016019965,157.792731522013,134.744810155227,-5.79584453674859,-8.89216495111256,-26.9976609693152,-23.4912695672621
MOD03.A2017092.0030.006.2017093001228.hdf,2017-04-02 00:30,6,91957,D,157.819665412327,-23.4193363051539,-44.7417996748892,127.135070544954,134.773121270194,158.167377821617,155.751563792897,127.093873862138,-23.4049337432492,-26.8005706624435,-45.0119201793728,-40.5644518622183
MOD03.A2017092.0035.006.2017093001311.hdf,2017-04-02 00:35,6,91957,D,155.789734733446,-40.5024279870921,-62.5725236889107,113.559751925347,127.169710373917,156.344258486547,155.250250994851,113.333864756083,-40.4912821525346,-44.6698042324636,-62.9120371903098,-56.3928522953947
MOD03.A2017092.0040.006.2017093001538.hdf,2017-04-02 00:40,6,91957,D,162.996995144628,-56.4119652531678,-80.5020596712956,83.2126063522467,113.640044594697,156.165364005814,163.479100994913,82.856165736444,-56.4065510858566,-62.4374386152355,-80.6055006009311,-68.4499915456404
MOD03.A2017092.0045.006.2017093001707.hdf,2017-04-02 00:45,6,91957,B,180,-68.68274241151,-89.9892971115785,-180,83.4043815840569,164.914148021043,-52.5107324476948,31.6076644919922,-68.6820620134839,-79.9952627226202,-80.8187331291866,-68.8850036234281
MOD03.A2017092.0050.006.2017093001356.hdf,2017-04-02 00:50,6,91957,N,31.4017750581678,-57.5265690492514,-81.7065709051383,-53.6778848936814,31.403785625981,-55.535996650543,-43.9474068553647,-0.132286196736759,-69.2300736524568,-81.2360678029045,-63.3231305690883,-57.2758719635913
MOD03.A2017092.0055.006.2017093001249.hdf,2017-04-02 00:55,6,91957,N,-0.745884918261914,-41.7668543098409,-63.8635912129195,-44.3766112914777,-0.744475512320976,-44.522851431894,-44.3755650541321,-14.5182997095803,-57.5925106599213,-63.8213509721869,-45.604265868088,-41.6046334226952
MOD03.A2017092.0100.006.2017093001114.hdf,2017-04-02 01:00,6,91957,N,-15.0631245448762,-24.7375318847046,-46.0326718057424,-46.3321794515849,-15.0609237203863,-44.5551507713633,-46.3538577003031,-22.540799711081,-41.8391921874527,-46.0500778376328,-27.8321739667792,-24.6428513207529
MOD03.A2017092.0105.006.2017093001135.hdf,2017-04-02 01:05,6,91957,N,-22.9544857492758,-7.17026368008166,-28.1520650866995,-49.1587685107592,-22.9502276166427,-46.3874906918169,-49.1791317329828,-27.8967509445211,-24.8111060450905,-28.1734211018424,-10.0542526317488,-7.12523218768248
MOD03.A2017092.0110.006.2017093001149.hdf,2017-04-02 01:10,6,91957,N,-28.1586564145917,10.6558703653489,-10.2425332929887,-52.912430931461,-28.1530980569362,-49.1545717335951,-52.9185047497701,-31.8811282869717,-7.24354888224883,-10.2606936209513,7.66787217576595,10.6891609157323
MOD03.A2017092.0115.006.2017093001141.hdf,2017-04-02 01:15,6,91958,N,-31.9763194563781,28.5845158035479,7.59558334221399,-58.0676353254183,-31.8893746453074,-52.9024348691188,-58.1408959960517,-34.9187348448556,10.5912641653371,7.57874187769988,25.2641923716561,28.7403317685492
MOD03.A2017092.0120.006.2017093001117.hdf,2017-04-02 01:20,6,91958,N,-34.8892340988936,46.5159194181067,25.2100832849804,-65.9480848850911,-34.6183715978585,-58.0473094473144,-66.1237092022426,-36.9983117571577,28.5245540379201,25.1965482055113,42.3322587443479,46.7929442202955
MOD03.A2017092.0125.006.2017093001159.hdf,2017-04-02 01:25,6,91958,N,-36.9586551956367,64.418527736623,42.3153283843111,-80.4653714219142,-36.4684850391942,-65.9131603956225,-80.808724806353,-37.4836013368824,46.4437418421027,42.3064135394916,58.0885915465303,64.7563213373994
